100 2462
0 1 7
0 2 19
0 7 19
0 8 18
0 10 18
0 11 1
0 12 14
0 13 1
0 14 11
0 15 6
0 16 17
0 19 1
0 24 6
0 26 10
0 27 13
0 30 2
0 31 20
0 32 17
0 33 11
0 36 7
0 40 11
0 42 4
0 43 8
0 44 12
0 46 17
0 50 6
0 54 17
0 55 3
0 59 14
0 60 17
0 61 9
0 62 8
0 64 20
0 66 14
0 67 18
0 68 20
0 70 8
0 71 15
0 72 8
0 73 17
0 74 18
0 76 3
0 77 9
0 78 19
0 82 4
0 83 17
0 85 3
0 87 9
0 90 3
0 91 18
0 92 13
0 94 12
0 97 10
0 98 19
0 99 3
1 3 8
1 4 18
1 5 14
1 6 12
1 14 11
1 17 15
1 18 15
1 23 4
1 24 4
1 27 20
1 28 16
1 31 4
1 33 12
1 34 20
1 37 5
1 40 20
1 41 7
1 42 2
1 44 6
1 46 9
1 50 2
1 51 14
1 55 20
1 56 9
1 62 8
1 63 7
1 66 9
1 68 19
1 69 7
1 72 9
1 73 18
1 78 3
1 81 7
1 82 17
1 85 7
1 86 20
1 88 10
1 89 20
1 90 8
1 91 7
1 93 1
1 96 4
1 97 10
1 98 13
1 99 10
2 3 19
2 6 17
2 7 9
2 9 18
2 10 8
2 13 19
2 17 14
2 19 2
2 20 16
2 22 3
2 23 18
2 25 3
2 26 9
2 28 7
2 29 12
2 30 2
2 32 13
2 34 15
2 36 10
2 37 8
2 39 3
2 40 10
2 41 12
2 44 12
2 45 3
2 46 18
2 47 13
2 49 13
2 50 4
2 53 1
2 56 1
2 57 7
2 59 2
2 64 2
2 68 8
2 69 9
2 71 19
2 73 18
2 77 2
2 78 14
2 79 10
2 80 11
2 82 4
2 85 1
2 88 20
2 89 10
2 91 20
2 92 13
2 95 18
2 96 10
2 98 6
2 99 14
3 4 2
3 5 9
3 6 16
3 8 16
3 9 16
3 10 5
3 11 10
3 12 1
3 13 13
3 14 19
3 15 2
3 16 8
3 17 7
3 18 17
3 19 19
3 22 16
3 26 7
3 27 1
3 29 4
3 34 5
3 36 1
3 37 20
3 39 9
3 42 5
3 45 9
3 47 14
3 50 5
3 52 2
3 55 14
3 56 20
3 57 6
3 59 17
3 60 17
3 61 19
3 62 15
3 64 5
3 66 11
3 68 3
3 70 13
3 71 3
3 73 2
3 75 11
3 76 9
3 81 14
3 86 12
3 88 6
3 89 4
3 95 5
3 96 4
3 98 4
4 6 19
4 7 2
4 10 13
4 11 4
4 13 16
4 14 20
4 15 13
4 16 6
4 19 20
4 20 13
4 22 11
4 24 19
4 28 6
4 29 18
4 30 12
4 31 8
4 33 7
4 34 15
4 36 5
4 37 18
4 38 19
4 39 11
4 40 1
4 42 18
4 43 13
4 46 15
4 47 11
4 48 4
4 51 9
4 55 11
4 56 11
4 57 9
4 60 20
4 64 19
4 66 17
4 69 12
4 70 8
4 74 7
4 76 5
4 77 2
4 78 17
4 80 7
4 81 11
4 82 2
4 83 12
4 84 8
4 85 10
4 89 16
4 90 13
4 93 1
4 96 2
4 97 17
4 98 2
4 99 17
5 7 1
5 8 1
5 12 8
5 13 8
5 14 1
5 18 2
5 21 2
5 25 6
5 27 11
5 28 1
5 30 2
5 33 16
5 36 4
5 37 19
5 41 3
5 42 18
5 45 17
5 47 14
5 48 20
5 52 6
5 55 3
5 57 20
5 59 17
5 61 8
5 64 7
5 65 8
5 66 17
5 69 10
5 70 1
5 72 4
5 73 8
5 74 18
5 75 3
5 76 9
5 80 19
5 82 8
5 83 11
5 84 3
5 86 17
5 89 8
5 92 14
5 93 16
5 94 4
5 96 13
5 99 8
6 9 7
6 10 2
6 11 15
6 12 2
6 16 12
6 20 12
6 21 20
6 22 6
6 23 17
6 26 1
6 28 13
6 29 20
6 30 7
6 31 9
6 32 15
6 33 17
6 37 17
6 38 6
6 46 5
6 47 19
6 51 9
6 52 7
6 53 7
6 54 4
6 57 12
6 59 8
6 60 6
6 61 3
6 62 16
6 63 3
6 65 3
6 66 13
6 68 18
6 69 7
6 70 15
6 73 12
6 74 15
6 76 7
6 79 20
6 80 16
6 82 8
6 83 16
6 85 18
6 87 4
6 91 6
6 93 5
6 95 18
6 97 10
6 98 12
7 9 1
7 13 6
7 15 1
7 16 20
7 18 12
7 20 17
7 21 4
7 22 19
7 23 15
7 26 9
7 27 5
7 28 14
7 31 14
7 34 19
7 37 7
7 39 20
7 40 11
7 43 8
7 45 20
7 46 20
7 48 7
7 52 20
7 54 17
7 55 14
7 57 8
7 58 14
7 59 16
7 60 8
7 61 15
7 62 1
7 66 7
7 67 18
7 70 5
7 74 15
7 76 11
7 82 19
7 84 13
7 87 19
7 88 14
7 91 2
8 9 13
8 10 9
8 11 2
8 12 14
8 13 2
8 14 2
8 15 7
8 18 2
8 19 3
8 23 1
8 25 2
8 27 6
8 28 20
8 30 4
8 32 11
8 33 9
8 35 15
8 37 14
8 42 19
8 43 11
8 46 4
8 47 20
8 51 1
8 52 4
8 55 9
8 56 14
8 57 5
8 59 14
8 60 18
8 61 5
8 63 8
8 64 5
8 65 10
8 66 3
8 67 2
8 68 20
8 71 13
8 72 17
8 73 19
8 77 2
8 82 4
8 88 14
8 89 6
8 90 14
8 93 20
8 94 9
8 95 16
8 99 2
9 10 7
9 11 4
9 12 2
9 20 5
9 21 6
9 22 10
9 23 15
9 25 12
9 29 17
9 31 9
9 33 16
9 34 18
9 37 12
9 38 11
9 40 3
9 42 2
9 44 10
9 45 6
9 47 20
9 49 17
9 50 17
9 53 6
9 54 13
9 57 16
9 61 18
9 62 11
9 65 18
9 67 14
9 70 12
9 73 12
9 74 7
9 75 1
9 76 18
9 80 5
9 81 3
9 82 6
9 83 15
9 84 15
9 86 7
9 87 6
9 91 19
9 94 20
9 97 13
9 98 16
10 12 7
10 13 12
10 15 5
10 16 10
10 20 13
10 22 4
10 23 18
10 24 4
10 28 9
10 31 6
10 32 14
10 33 19
10 34 4
10 35 5
10 38 4
10 39 1
10 40 20
10 41 16
10 42 13
10 45 10
10 46 4
10 47 18
10 48 18
10 51 12
10 52 6
10 55 12
10 57 11
10 58 5
10 62 3
10 63 11
10 65 8
10 66 11
10 67 16
10 68 4
10 74 5
10 78 10
10 84 5
10 89 9
10 91 19
10 92 13
10 95 18
10 96 11
10 99 7
11 12 4
11 15 12
11 17 18
11 18 16
11 21 6
11 26 6
11 29 15
11 31 16
11 32 19
11 34 4
11 36 13
11 37 18
11 43 8
11 44 20
11 49 2
11 51 15
11 52 3
11 53 16
11 55 13
11 56 2
11 57 15
11 60 16
11 63 14
11 68 1
11 70 20
11 72 3
11 73 12
11 74 3
11 76 16
11 77 8
11 79 14
11 81 16
11 83 12
11 86 16
11 90 18
11 91 11
11 93 3
11 95 6
11 96 16
11 98 20
12 14 9
12 15 16
12 16 12
12 17 17
12 18 11
12 19 7
12 20 19
12 22 17
12 24 8
12 26 13
12 27 3
12 29 20
12 30 5
12 31 16
12 32 12
12 33 7
12 34 7
12 37 17
12 40 13
12 48 19
12 51 11
12 52 10
12 53 13
12 56 9
12 58 4
12 59 2
12 60 12
12 62 10
12 63 11
12 65 20
12 66 13
12 68 1
12 69 9
12 70 13
12 73 2
12 74 6
12 75 5
12 76 15
12 77 17
12 78 18
12 81 9
12 82 8
12 85 8
12 86 18
12 87 15
12 88 16
12 91 14
12 95 20
12 98 13
12 99 10
13 14 14
13 16 18
13 18 18
13 20 20
13 22 7
13 23 10
13 24 17
13 26 12
13 28 3
13 31 6
13 40 14
13 44 12
13 45 15
13 47 12
13 49 6
13 50 19
13 54 2
13 56 6
13 57 18
13 60 15
13 64 12
13 65 8
13 67 17
13 68 10
13 72 13
13 76 19
13 80 4
13 82 10
13 87 5
13 88 7
13 89 5
13 91 9
13 94 5
13 95 12
13 96 8
13 98 14
14 15 3
14 18 4
14 21 12
14 22 11
14 24 19
14 27 11
14 28 20
14 29 14
14 31 19
14 32 20
14 35 10
14 36 10
14 39 14
14 40 1
14 41 4
14 43 9
14 44 11
14 45 17
14 49 3
14 50 7
14 51 15
14 52 8
14 53 14
14 55 18
14 58 16
14 59 11
14 60 14
14 62 1
14 64 9
14 65 1
14 67 12
14 68 16
14 69 6
14 74 8
14 76 11
14 77 19
14 78 8
14 80 4
14 81 1
14 83 20
14 85 15
14 86 3
14 87 2
14 88 14
14 89 20
14 93 18
14 95 19
14 96 3
14 98 11
14 99 16
15 18 17
15 19 6
15 21 17
15 22 3
15 28 5
15 30 1
15 32 4
15 34 8
15 35 12
15 38 1
15 39 5
15 41 3
15 45 12
15 46 18
15 47 5
15 48 16
15 49 17
15 52 15
15 53 19
15 55 19
15 57 3
15 59 13
15 60 17
15 61 10
15 62 5
15 63 20
15 66 2
15 70 15
15 71 10
15 74 3
15 75 18
15 79 8
15 81 14
15 82 14
15 83 3
15 85 6
15 86 19
15 87 9
15 88 9
15 89 3
15 92 11
15 99 16
16 17 12
16 19 14
16 20 10
16 26 1
16 28 12
16 30 14
16 37 4
16 39 19
16 40 13
16 42 4
16 43 2
16 44 18
16 48 9
16 50 8
16 51 18
16 55 6
16 56 5
16 57 16
16 59 11
16 61 3
16 62 5
16 63 9
16 65 8
16 67 1
16 73 1
16 75 13
16 77 10
16 78 5
16 79 3
16 81 9
16 82 18
16 83 2
16 84 14
16 85 9
16 87 18
16 88 19
16 89 3
16 90 19
16 93 5
16 96 20
16 99 17
17 18 11
17 20 4
17 22 10
17 25 4
17 32 16
17 36 3
17 37 13
17 38 4
17 40 13
17 45 1
17 46 11
17 49 19
17 50 16
17 51 8
17 53 15
17 55 3
17 59 7
17 61 1
17 62 15
17 63 10
17 64 19
17 67 17
17 68 9
17 69 11
17 70 16
17 71 1
17 72 7
17 73 5
17 74 16
17 75 15
17 77 15
17 78 10
17 80 9
17 81 17
17 83 11
17 84 7
17 86 8
17 87 6
17 88 12
17 89 3
17 90 18
17 92 2
17 93 16
17 95 15
17 99 20
18 20 15
18 23 7
18 24 12
18 27 9
18 30 19
18 32 2
18 33 7
18 37 3
18 38 6
18 39 6
18 40 19
18 41 20
18 43 4
18 46 11
18 49 19
18 51 5
18 54 1
18 55 15
18 58 1
18 59 14
18 60 7
18 61 10
18 62 10
18 64 18
18 68 16
18 69 4
18 70 6
18 72 3
18 74 1
18 77 18
18 78 7
18 79 5
18 80 20
18 82 18
18 85 18
18 88 18
18 90 11
18 91 20
18 94 10
18 98 18
19 21 5
19 23 13
19 25 12
19 27 16
19 28 7
19 30 6
19 32 4
19 38 16
19 40 5
19 42 10
19 47 11
19 51 2
19 53 11
19 56 1
19 57 11
19 59 7
19 61 19
19 64 14
19 66 9
19 67 16
19 71 13
19 72 13
19 75 17
19 77 14
19 79 17
19 80 9
19 82 8
19 83 4
19 84 10
19 87 10
19 91 5
19 96 11
19 98 18
19 99 3
20 21 9
20 22 7
20 24 20
20 35 9
20 36 19
20 38 5
20 39 15
20 40 8
20 41 8
20 42 20
20 43 13
20 44 15
20 47 11
20 48 12
20 51 10
20 52 3
20 53 15
20 54 5
20 55 20
20 56 14
20 63 5
20 65 3
20 66 13
20 67 2
20 72 6
20 74 5
20 76 15
20 78 14
20 81 19
20 83 5
20 85 1
20 86 6
20 90 18
20 92 6
20 94 20
20 95 6
20 97 20
20 98 16
20 99 1
21 24 19
21 25 20
21 28 6
21 31 15
21 32 14
21 33 7
21 34 19
21 36 4
